[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 33.851562
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 12.769852
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 44.291718
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.010069
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 25.563805
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 29.240051
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.003227
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 48.513718
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 33.884636
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.146994
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 28.443995
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 6.624857
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.040762
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 51.991470
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 4.365215
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 50.558430
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.003940
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 36.208672
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000001
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 1.615296
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.874985
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.679268
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.009961
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 38.092442
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 7.805261
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 13.041096
